labname,size_student,size_staff,labdept
0,85,50,Comoros
1,89,4,Cyprus
2,95,24,Antigua
3,61,50,United States
4,26,8,East Timor
5,41,42,Argentina
6,22,19,Congo
7,84,38,Congo
8,37,20,Croatia
9,37,42,United Kingdom
10,91,7,Albania
11,13,8,China
12,41,12,United Kingdom
13,78,9,Croatia
14,45,20,China
15,61,34,Angola
16,29,32,Dominican Republic
17,61,39,Georgia
18,91,38,Comoros
19,46,22,Andorra
20,27,3,Japan
21,44,27,Congo
22,48,38,Algeria
23,71,31,Congo
24,9,5,Andorra
25,9,18,Cuba
26,56,9,Comoros
27,84,36,United Kingdom
28,72,33,Gabon
29,47,10,Ecuador
30,9,38,Cyprus
31,93,20,Colombia
32,92,42,Gabon
33,29,35,Gambia
34,96,30,Comoros
35,55,31,Colombia
36,57,20,Egypt
37,62,12,Georgia
38,90,13,Croatia
39,70,50,China
40,2,30,Cuba
41,53,17,Republic
42,73,35,Antigua
43,32,37,Ecuador
44,86,45,Angola
45,69,49,Italy
46,92,3,Ecuador
47,66,21,United Kingdom
48,38,15,Cyprus
49,50,46,Dominica
50,61,44,Korea South
51,94,42,Korea South
52,44,48,Comoros
53,1,15,Gambia
54,19,41,Congo
55,43,9,Antigua
56,22,45,Germany
57,34,13,Angola
58,96,13,Comoros
59,84,22,East Timor
60,7,11,United States
61,42,7,Denmark
62,71,8,Costa Rica
63,10,21,Croatia
64,80,4,Croatia
65,79,42,Colombia
66,81,16,Albania
67,50,49,Korea South
68,9,34,Albania
69,16,48,Czech
70,22,8,Japan
71,85,24,Czech
72,24,5,Ecuador
73,1,13,Dominica
74,19,2,Croatia
75,85,48,Angola
76,93,45,United States
77,34,49,Dominica
78,7,31,Andorra
79,78,47,Costa Rica
80,44,47,East Timor
81,21,28,Denmark
82,41,44,Dominica
83,30,41,Colombia
84,60,46,Gambia
85,21,3,Argentina
86,89,50,Italy
87,14,7,Dominica
88,94,37,Ecuador
89,48,11,Colombia
90,95,34,Dominica
91,28,12,Afghanistan
92,23,20,Dominican Republic
93,13,50,United Kingdom
94,34,29,Albania
95,37,29,Denmark
96,68,36,Korea South
97,55,2,Comoros
98,88,31,United States
99,80,46,Djibouti
100,53,35,Djibouti
101,41,21,Dominican Republic
102,29,9,Algeria
103,68,38,Korea South
104,39,20,United States
105,93,16,United Kingdom
106,54,48,Colombia
107,96,33,Republic
108,100,31,Georgia
109,91,37,Algeria
110,66,47,Gabon
111,35,6,Colombia
112,31,49,Argentina
113,72,40,Djibouti
114,45,2,Croatia
115,37,31,Albania
116,93,16,Antigua
117,58,45,Cyprus
118,91,50,Czech
119,49,6,Algeria
120,90,39,Colombia
121,33,30,Antigua
122,63,35,Ireland
123,73,17,United States
124,99,47,Korea South
125,97,34,China
126,17,3,Gambia
127,44,1,Korea South
128,94,49,Denmark
129,40,9,Japan
130,44,37,United Kingdom
131,78,49,Denmark
132,57,6,Egypt
133,18,20,Colombia
134,28,17,Argentina
135,86,18,Andorra
136,36,4,Italy
137,73,18,Congo
138,62,8,Georgia
139,87,8,Costa Rica
140,3,13,Albania
141,47,15,Djibouti
142,14,5,Republic
143,30,50,Costa Rica
144,82,46,Italy
145,100,38,Ecuador
146,53,45,Egypt
147,60,35,Republic
148,3,24,Afghanistan
149,11,16,East Timor
150,66,33,United States
151,25,37,Cyprus
152,13,4,Croatia
153,2,49,Andorra
154,92,40,Czech
155,45,40,Andorra
156,20,3,Congo
157,75,1,Egypt
158,10,26,Colombia
159,58,37,Afghanistan
160,60,41,Ireland
161,2,40,Gambia
162,15,42,Gambia
163,8,17,Djibouti
164,55,47,Algeria
165,68,36,Congo
166,37,20,Japan
167,21,31,Colombia
168,55,2,Argentina
169,79,27,Korea South
170,61,45,Croatia
171,57,38,Djibouti
172,59,29,Dominican Republic
173,40,26,Georgia
174,58,48,Gabon
175,68,31,Japan
176,77,20,China
177,4,8,Congo
178,58,7,Gabon
179,86,11,Korea South
180,95,21,Cuba
181,56,15,Argentina
182,42,43,Republic
183,45,5,Argentina
184,30,22,Ecuador
185,96,13,Denmark
186,75,42,Japan
187,12,39,Cuba
188,14,42,Afghanistan
189,82,10,Italy
190,93,36,Algeria
191,24,31,Cyprus
192,24,45,Comoros
193,34,5,Andorra
194,100,26,Algeria
195,65,8,Ireland
196,39,43,Republic
197,67,9,Republic
198,79,21,Germany
199,38,35,Angola
200,46,18,France
201,99,17,United Kingdom
202,70,46,Djibouti
203,7,15,Egypt
204,87,17,Denmark
205,67,32,China
206,99,11,Georgia
207,2,7,Albania
208,20,11,China
209,64,23,Algeria
210,61,44,Cuba
211,19,23,Algeria
212,59,41,Angola
213,11,31,Japan
214,16,17,Japan
215,81,21,Costa Rica
216,71,26,Gambia
217,75,17,Croatia
218,56,44,Angola
219,8,39,China
220,94,43,Gambia
221,19,24,Algeria
222,17,42,Korea South
223,79,4,United States
224,91,1,Ecuador
225,21,37,Dominica
226,69,34,United Kingdom
227,46,40,East Timor
228,93,15,Comoros
229,72,12,Dominica
230,38,48,Comoros
231,37,17,Ireland
232,91,43,Cyprus
233,8,6,Antigua
234,64,13,Algeria
235,34,38,Republic
236,49,31,Comoros
237,84,43,Cuba
238,100,2,Denmark
239,5,43,Algeria
240,55,30,Costa Rica
241,10,32,Albania
242,92,26,Antigua
243,55,2,East Timor
244,65,49,East Timor
245,61,44,Gambia
246,57,37,Republic
247,86,29,Djibouti
248,81,44,Angola
249,91,16,Albania
250,47,5,Costa Rica
251,55,40,Egypt
252,39,12,Afghanistan
253,91,50,Congo
254,3,35,Korea South
255,8,18,Czech
256,38,39,Ireland
257,83,8,Colombia
258,19,29,Japan
259,83,15,Egypt
260,11,35,Colombia
261,31,47,Dominican Republic
262,82,44,Congo
263,58,37,Gabon
264,4,7,Cyprus
265,78,23,East Timor
266,89,29,Ecuador
267,98,44,Afghanistan
268,75,10,China
269,58,46,Cyprus
270,67,19,Djibouti
271,89,26,United States
272,94,32,Albania
273,4,23,Korea South
274,69,41,Costa Rica
275,80,15,Argentina
276,4,5,Egypt
277,55,45,Djibouti
278,66,34,Italy
279,72,21,United States
280,87,10,Cuba
281,74,3,Croatia
282,41,44,Congo
283,77,22,Ecuador
284,87,46,Djibouti
285,33,34,Dominican Republic
286,57,41,Japan
287,9,31,Antigua
288,85,25,Czech
289,65,2,Republic
290,12,26,Germany
291,59,29,Ecuador
292,47,24,Germany
293,31,21,Dominican Republic
294,1,47,Japan
295,90,6,Germany
296,84,31,Italy
297,61,43,Antigua
298,93,45,Congo
299,37,10,Algeria
300,66,38,Dominican Republic
301,70,4,United Kingdom
302,1,28,United Kingdom
303,26,30,Japan
304,43,4,Argentina
305,9,22,Egypt
306,82,3,Croatia
307,45,16,China
308,31,30,Georgia
309,16,50,Andorra
310,47,28,Republic
311,92,7,Antigua
312,4,26,Italy
313,40,18,Comoros
314,43,22,Dominican Republic
315,51,11,Czech
316,5,8,Djibouti
317,93,35,Japan
318,90,32,Gambia
319,87,15,Denmark
320,74,40,Japan
321,98,48,Republic
322,82,20,Gambia
323,79,48,Italy
324,69,24,Costa Rica
325,64,11,United Kingdom
326,68,28,China
327,47,30,Korea South
328,40,23,Germany
329,58,37,Cyprus
330,49,13,Italy
331,55,27,Gambia
332,66,20,Costa Rica
333,30,27,China
334,45,40,Georgia
335,6,50,Afghanistan
336,4,8,Croatia
337,20,20,Italy
338,35,7,Colombia
339,45,45,United States
340,79,14,Gabon
341,81,46,Italy
342,45,26,Egypt
343,50,9,United States
344,76,4,Cuba
345,81,29,Algeria
346,86,41,Italy
347,95,43,Korea South
348,45,43,Japan
349,2,15,Korea South
350,10,12,Republic
351,86,41,Italy
352,16,28,Colombia
353,42,36,Korea South
354,32,3,Gabon
355,63,37,Andorra
356,43,46,France
357,51,45,Georgia
358,58,45,Egypt
359,49,5,United Kingdom
360,50,25,Argentina
361,93,10,Djibouti
362,10,25,Ecuador
363,76,39,China
364,79,10,Antigua
365,55,30,Afghanistan
366,42,22,Colombia
367,35,44,Republic
368,1,49,Cuba
369,64,43,Costa Rica
370,70,44,Czech
371,19,50,Germany
372,1,13,Algeria
373,50,32,Afghanistan
374,40,7,Georgia
375,93,11,Czech
376,74,31,Costa Rica
377,34,49,Egypt
378,48,33,Denmark
379,65,14,Gambia
380,73,36,Dominican Republic
381,43,12,Japan
382,2,38,Argentina
383,94,20,Colombia
384,49,11,Gambia
385,14,29,Czech
386,85,35,Denmark
387,46,32,Japan
388,13,16,China
389,20,19,Albania
390,52,32,Albania
391,100,37,Ireland
392,85,2,Colombia
393,61,42,Czech
394,10,37,Czech
395,73,20,Colombia
396,66,11,Antigua
397,64,17,Denmark
398,8,33,Albania
399,79,25,Korea South
400,10,14,Georgia
401,79,2,Italy
402,69,15,Gabon
403,63,9,United States
404,24,27,Ireland
405,50,29,Afghanistan
406,26,10,Costa Rica
407,15,32,Cuba
408,88,48,Japan
409,63,47,Dominican Republic
410,58,49,Congo
411,87,18,United States
412,19,25,Korea South
413,46,38,Antigua
414,75,44,Croatia
415,16,9,Cyprus
416,24,29,Gabon
417,29,43,United Kingdom
418,57,25,East Timor
419,3,17,Comoros
420,33,11,East Timor
421,99,40,Georgia
422,1,37,Djibouti
423,39,45,Gabon
424,53,28,Ireland
425,20,35,Djibouti
426,20,30,Argentina
427,21,46,France
428,26,44,Andorra
429,5,27,Angola
430,43,1,Egypt
431,11,19,Gambia
432,30,11,Denmark
433,7,3,Dominica
434,55,38,East Timor
435,51,9,Republic
436,82,36,Argentina
437,23,49,Republic
438,13,4,Germany
439,78,18,France
440,12,50,Comoros
441,37,29,East Timor
442,44,50,Costa Rica
443,35,33,China
444,92,27,Comoros
445,30,47,Colombia
446,38,4,Costa Rica
447,33,18,Germany
448,67,2,Antigua
449,61,45,Afghanistan
450,66,43,Costa Rica
451,89,32,Cyprus
452,51,28,Georgia
453,2,9,Japan
454,28,50,Albania
455,20,10,Ecuador
456,9,8,Colombia
457,92,7,United States
458,18,43,Djibouti
459,43,45,Germany
460,1,32,Argentina
461,40,5,Ireland
462,73,8,Croatia
463,17,33,Egypt
464,61,17,Afghanistan
465,46,3,Colombia
466,77,17,Ecuador
467,72,1,Afghanistan
468,55,48,Afghanistan
469,83,32,Republic
470,11,48,Czech
471,45,30,Denmark
472,22,26,China
473,4,34,Ireland
474,62,50,Angola
475,31,16,Algeria
476,31,39,Japan
477,77,49,Gabon
478,87,27,Afghanistan
479,15,24,Comoros
480,97,41,Cuba
481,16,13,Cuba
482,36,28,China
483,73,39,Albania
484,82,32,Djibouti
485,70,1,Gabon
486,44,40,Djibouti
487,59,8,Congo
488,90,27,Algeria
489,8,4,Croatia
490,3,20,Czech
491,87,41,Egypt
492,91,20,Djibouti
493,95,31,Colombia
494,49,23,Gabon
495,41,5,Gabon
496,84,19,Ecuador
497,1,44,Cyprus
498,31,4,Congo
499,23,46,Cyprus
500,26,39,Andorra
501,39,40,Cyprus
502,15,28,Georgia
503,6,50,France
504,80,16,Colombia
505,49,40,Croatia
506,33,45,Gabon
507,8,20,Cyprus
508,35,17,Italy
509,5,18,Ireland
510,12,18,Ecuador
511,5,41,United Kingdom
512,57,6,Costa Rica
513,44,28,Antigua
514,11,18,Czech
515,20,15,Czech
516,79,32,Germany
517,16,15,Korea South
518,100,44,Congo
519,50,36,Korea South
520,98,1,Andorra
521,31,20,Germany
522,86,10,China
523,50,44,Cyprus
524,81,1,Angola
525,63,32,Colombia
526,11,35,Gambia
527,85,22,Afghanistan
528,50,15,Djibouti
529,23,12,Dominica
530,14,30,Andorra
531,72,25,Congo
532,11,39,Ecuador
533,53,23,Germany
534,3,26,Egypt
535,79,46,Colombia
536,7,29,Argentina
537,33,14,Afghanistan
538,84,5,Ireland
539,29,39,Dominican Republic
540,22,32,Georgia
541,89,38,United States
542,42,27,Republic
543,98,3,East Timor
544,73,42,Germany
545,16,41,Cyprus
546,80,37,Angola
547,41,2,Italy
548,62,29,China
549,88,11,Cyprus
550,66,38,Dominica
551,92,13,Afghanistan
552,22,9,Ireland
553,21,14,Dominica
554,53,5,China
555,50,14,France
556,85,23,Gabon
557,70,43,Algeria
558,75,30,Colombia
559,21,18,Colombia
560,62,32,United Kingdom
561,50,5,Afghanistan
562,32,15,Italy
563,15,9,Georgia
564,57,21,Algeria
565,27,8,Dominican Republic
566,6,50,Algeria
567,44,29,East Timor
568,63,25,Czech
569,7,38,Algeria
570,11,45,Costa Rica
571,98,7,Albania
572,9,34,Algeria
573,99,42,Gambia
574,71,40,Ecuador
575,48,15,Andorra
576,37,25,Congo
577,95,12,Congo
578,20,48,Antigua
579,67,46,Angola
580,92,33,Afghanistan
581,100,42,France
582,82,38,Croatia
583,69,1,Cuba
584,52,39,Denmark
585,57,2,Georgia
586,74,49,Costa Rica
587,76,39,Congo
588,41,11,Andorra
589,75,28,Georgia
590,32,17,Italy
591,66,44,Afghanistan
592,25,28,Algeria
593,22,19,Korea South
594,79,24,Afghanistan
595,56,23,Djibouti
596,64,37,Dominica
597,6,32,Afghanistan
598,93,40,Egypt
599,23,36,Italy
600,52,20,Djibouti
601,69,4,Angola
602,38,10,Ecuador
603,19,50,United States
604,94,20,Georgia
605,32,11,Colombia
606,77,30,Japan
607,99,31,Korea South
608,51,11,Italy
609,15,26,France
610,99,31,Egypt
611,84,28,Congo
612,66,43,Czech
613,89,26,Korea South
614,33,50,Congo
615,22,16,Cuba
616,25,45,Ecuador
617,13,1,Antigua
618,82,44,Italy
619,47,35,Republic
620,69,10,France
621,37,39,Gambia
622,8,44,Cuba
623,4,5,United States
624,99,34,Dominica
625,10,12,Andorra
626,79,34,Ecuador
627,73,15,Croatia
628,13,28,Cyprus
629,49,9,Antigua
630,54,19,Antigua
631,38,50,Congo
632,78,22,Ecuador
633,4,34,Gabon
634,6,2,Colombia
635,82,33,China
636,52,37,Egypt
637,94,12,Italy
638,79,38,Japan
639,59,26,France
640,66,31,Japan
641,2,25,Gabon
642,29,49,Angola
643,26,3,Antigua
644,89,1,United Kingdom
645,87,22,Cuba
646,64,46,Costa Rica
647,91,33,Cuba
648,91,50,Ecuador
649,13,44,Ireland
650,38,26,France
651,91,33,Cyprus
652,55,42,Colombia
653,69,20,Czech
654,37,15,Colombia
655,22,2,Ireland
656,67,45,Djibouti
657,96,40,China
658,37,9,Costa Rica
659,69,23,Cyprus
660,48,20,Algeria
661,45,2,Georgia
662,79,1,China
663,43,10,Argentina
664,44,46,Argentina
665,74,15,Ecuador
666,30,38,United States
667,99,9,China
668,21,47,Gabon
669,74,13,Congo
670,33,19,Colombia
671,3,4,Cuba
672,26,45,Gambia
673,86,27,Congo
674,44,41,Angola
675,46,6,Angola
676,94,47,Korea South
677,68,45,Czech
678,96,11,Korea South
679,54,31,Dominica
680,29,50,Colombia
681,57,42,Cuba
682,24,43,Andorra
683,40,44,Gabon
684,44,39,Ecuador
685,6,30,Angola
686,5,27,Denmark
687,52,21,Germany
688,77,44,Croatia
689,20,28,Argentina
690,63,15,Comoros
691,69,39,United States
692,79,21,Georgia
693,8,48,Dominica
694,68,15,Croatia
695,14,1,France
696,100,29,Comoros
697,99,48,China
698,46,34,Georgia
699,65,49,Germany
700,97,29,Comoros
701,81,38,Dominican Republic
702,77,44,Czech
703,3,30,Costa Rica
704,62,5,Comoros
705,81,32,Albania
706,37,41,Ireland
707,7,42,Croatia
708,31,48,Angola
709,15,41,France
710,26,2,Croatia
711,90,50,Croatia
712,95,2,Japan
713,79,33,Germany
714,35,30,Algeria
715,77,49,Dominican Republic
