scolname,location_country,location_state,location_city,scale_students,scale_faculty
0school,Republic,never,heavy,915,3339
1school,Angola,together,improve,2900,2994
2school,China,peace,give,695,1523
3school,Andorra,late,five,7971,2383
4school,Gambia,product,partner,9877,1898
5school,Gabon,walk,explain,7114,3651
6school,Congo,with,employee,7376,56
7school,China,machine,quality,8714,1263
8school,Germany,view,today,3839,2153
9school,Cuba,investment,since,9198,2766
10school,Georgia,act,red,3599,4904
11school,Italy,cup,writer,3186,2428
12school,Cyprus,TV,nearly,5738,3478
13school,France,shoulder,threat,1764,561
14school,East Timor,above,south,4208,1600
15school,Croatia,treatment,statement,5634,2001
16school,Angola,she,democratic,5039,3237
17school,Germany,son,plan,6116,3561
18school,China,glass,class,4901,3954
19school,Argentina,black,here,1488,2529
20school,Algeria,difference,military,1014,1659
21school,Denmark,again,college,1141,4332
22school,Andorra,no,experience,6468,4504
23school,Georgia,spend,art,5592,4327
24school,Argentina,science,government,3174,1567
25school,United States,on,traditional,4549,539
26school,Antigua,generation,follow,9647,4552
27school,Germany,perform,figure,6908,4780
28school,Argentina,himself,company,2798,491
29school,Djibouti,keep,live,6157,2294
30school,Czech,off,true,8774,1121
31school,Italy,wonder,line,6184,2463
32school,East Timor,generation,strategy,932,1542
33school,East Timor,order,kid,5324,4289
34school,Cuba,buy,team,9836,218
35school,Djibouti,there,quite,6642,2141
36school,Albania,life,myself,2020,366
37school,Cuba,allow,spend,3747,1692
38school,Dominican Republic,return,suggest,9151,907
39school,Japan,north,different,6589,2666
40school,Afghanistan,street,writer,3687,1085
41school,China,fine,money,3272,659
42school,Comoros,report,door,1706,668
43school,Antigua,understand,director,4796,1677
44school,Dominica,grow,enough,1142,1378
45school,Georgia,understand,success,7718,1236
46school,United States,alone,win,8059,699
47school,Congo,them,model,9392,1603
48school,United Kingdom,second,nature,1097,1350
49school,United States,his,speak,1496,2567
50school,Argentina,old,professor,8433,838
51school,Ecuador,response,collection,1402,2268
52school,Afghanistan,fear,power,3842,4598
53school,Ecuador,pass,world,6486,3008
54school,Albania,difficult,out,4722,2528
55school,Antigua,challenge,become,5998,3511
56school,Congo,fill,interesting,1007,4679
57school,Dominican Republic,watch,trade,6183,1925
58school,East Timor,news,agreement,6614,2115
59school,Andorra,blue,on,3950,190
60school,China,wish,one,5871,3020
61school,Costa Rica,standard,deep,723,3202
62school,Georgia,no,we,2625,3224
63school,Egypt,it,tonight,8996,1603
64school,Ireland,use,officer,4334,1457
65school,Italy,stop,participant,3493,1408
66school,United Kingdom,age,exactly,6406,3635
67school,Antigua,suffer,garden,1613,2196
68school,Czech,toward,society,3049,4832
69school,Albania,positive,well,8949,3669
70school,Cyprus,response,professor,965,4433
71school,Gambia,she,discussion,2061,3109
72school,Czech,find,most,328,2401
73school,Denmark,turn,compare,8467,284
74school,Angola,attorney,your,8068,3033
75school,Comoros,century,according,4728,4988
76school,Djibouti,alone,over,1289,1063
77school,Ireland,east,able,1011,2333
78school,Dominica,summer,hope,1549,1353
79school,Antigua,company,final,125,3701
80school,Croatia,event,baby,1953,2121
81school,Japan,assume,become,136,3706
82school,Afghanistan,draw,window,2988,1098
83school,Djibouti,language,become,8579,4721
84school,Czech,onto,college,1913,2063
85school,Dominican Republic,how,try,4193,4112
86school,Congo,book,yet,5430,4717
87school,Germany,various,relate,2703,3081
88school,Korea South,clear,brother,939,4337
89school,Georgia,home,choice,3494,3364
90school,Egypt,realize,discuss,8385,4302
91school,Ecuador,hot,area,2528,4421
92school,Georgia,my,play,6497,328
93school,Georgia,participant,discussion,3287,1567
94school,Croatia,seem,off,1147,3804
95school,United States,side,option,1068,2652
96school,Dominican Republic,tend,build,1858,2281
97school,Republic,table,explain,9226,2413
98school,Argentina,foot,take,9994,343
99school,Denmark,state,bed,1971,4937
100school,Ireland,great,scientist,2853,4532
101school,Ireland,college,administration,7077,1823
102school,Argentina,level,live,5045,3662
103school,Algeria,admit,even,4468,524
104school,Costa Rica,born,PM,7573,687
105school,Angola,executive,leg,5854,1717
106school,Albania,long,professor,471,2206
107school,Italy,truth,marriage,2843,155
108school,Czech,thus,military,8249,2579
109school,Gabon,focus,carry,1688,2535
110school,Angola,ground,perform,2467,859
111school,Colombia,executive,example,7999,4073
112school,Antigua,defense,forward,3727,3426
113school,Argentina,relationship,view,3424,2013
114school,China,each,range,3523,2175
115school,Egypt,whom,development,54,4858
116school,France,exactly,need,4728,1020
117school,Colombia,father,suggest,2456,4645
118school,Djibouti,just,power,9844,1064
119school,Albania,effect,the,4319,748
120school,Ireland,buy,example,1388,3145
121school,Gabon,seat,others,7614,1192
122school,United States,west,nor,7605,376
123school,Germany,check,live,6667,1634
124school,Georgia,through,it,1968,4904
125school,Ireland,paper,thought,8028,2161
126school,Croatia,unit,road,1120,4462
127school,Costa Rica,power,human,7579,1239
128school,Albania,skill,continue,6406,2257
129school,Ecuador,organization,discover,6294,1070
130school,Costa Rica,anything,rise,758,4299
131school,United Kingdom,will,fine,3212,2051
132school,Djibouti,as,organization,5470,1783
133school,Colombia,kind,director,5908,2135
134school,Ireland,agreement,partner,9142,3831
135school,Republic,tonight,senior,7057,1322
136school,Croatia,anyone,likely,3954,489
137school,Dominica,use,event,5320,488
138school,Algeria,involve,character,6606,4360
139school,Antigua,response,quite,757,890
140school,Andorra,modern,animal,1491,3324
141school,China,blood,range,1106,4543
142school,Argentina,wide,yes,4548,2506
143school,Republic,sit,others,6271,2429
144school,Costa Rica,own,boy,9226,1147
145school,Denmark,seat,have,2676,1359
146school,United States,particularly,hospital,6160,3337
147school,Dominican Republic,student,simply,8980,254
148school,Croatia,candidate,fear,514,217
149school,Dominica,local,consumer,9454,4863
150school,Ireland,think,off,440,2554
151school,China,natural,foot,676,4715
152school,Croatia,really,quite,6888,3758
153school,Andorra,window,hotel,2556,223
154school,Ireland,culture,vote,4771,4355
155school,Cyprus,arm,city,4108,846
156school,Argentina,amount,every,5572,319
157school,Angola,run,how,3750,4408
158school,Croatia,paper,drive,6457,4667
159school,Cuba,treat,half,8245,1235
160school,Italy,management,today,3261,2132
161school,Gabon,short,first,6107,354
162school,United States,whose,big,8390,1071
163school,Egypt,common,piece,1868,1113
164school,Argentina,play,about,3513,2767
165school,Antigua,wife,success,4305,19
166school,Afghanistan,short,nation,5850,552
167school,Gambia,believe,too,3882,3597
168school,Czech,nation,rule,2915,3379
169school,East Timor,among,really,7926,3521
170school,Gambia,sister,soon,7248,1851
171school,Croatia,kid,production,3254,4247
172school,France,drop,technology,4678,1744
173school,France,participant,why,8924,440
174school,Ecuador,process,class,8707,939
175school,Cyprus,magazine,event,7738,1204
176school,Ireland,attack,tend,295,688
177school,Egypt,move,feel,366,4680
178school,Cyprus,evening,medical,3051,3425
179school,China,shoulder,determine,8345,3265
180school,Antigua,want,unit,3790,2852
181school,Cyprus,measure,nothing,8344,2348
182school,Croatia,stop,experience,5920,2182
183school,Ecuador,people,expect,7854,2513
184school,Republic,else,responsibility,982,1114
185school,Congo,type,natural,8233,2903
186school,Croatia,you,cost,1318,211
187school,Czech,dinner,natural,2848,1028
188school,Cuba,new,soldier,3360,2126
189school,Korea South,guy,prepare,1768,4416
190school,Egypt,southern,cell,7277,1615
191school,Cuba,his,small,9472,1446
192school,Germany,security,up,1668,4380
193school,Algeria,form,the,3687,4803
194school,Antigua,carry,energy,9462,3674
195school,France,number,sing,8030,435
196school,Comoros,during,important,7913,4134
197school,Germany,card,occur,9291,2932
198school,Gambia,choose,all,9700,4197
199school,Colombia,especially,set,9888,2257
200school,Colombia,security,pass,5670,831
201school,Gambia,apply,data,5789,1575
202school,Dominica,guess,house,3720,1185
203school,Georgia,produce,impact,4661,305
204school,Egypt,drop,guess,1760,2394
205school,Argentina,own,bad,254,1020
206school,Cyprus,candidate,capital,4445,2570
207school,China,traditional,serious,8598,1136
208school,Republic,yourself,language,2093,1923
209school,Dominican Republic,while,economy,733,4324
210school,Gabon,unit,member,2848,639
211school,Japan,level,blue,2346,298
212school,Antigua,happy,fall,2653,3856
213school,Albania,machine,lot,4239,338
214school,Dominica,fact,box,5389,346
215school,Czech,cover,also,3339,3193
216school,Egypt,science,message,7232,1774
217school,Costa Rica,determine,outside,3950,2265
218school,Angola,whom,million,4686,4956
219school,East Timor,major,window,2390,4087
220school,Colombia,home,change,1963,823
221school,Cuba,method,energy,320,4989
222school,Cyprus,experience,write,6701,3525
223school,Egypt,significant,likely,8424,4738
224school,Ireland,evening,discuss,2532,3630
225school,Ireland,bank,question,5073,3717
226school,Georgia,explain,this,9241,3541
227school,Albania,story,herself,8675,3295
228school,Argentina,street,degree,2825,1550
229school,France,else,word,8536,2890
230school,Djibouti,garden,manage,4651,3710
231school,Ecuador,because,white,8638,2854
232school,Costa Rica,TV,buy,482,3321
233school,Ecuador,item,eat,1767,3492
234school,Ireland,would,ground,5671,3651
235school,France,unit,push,62,3388
236school,Dominican Republic,treatment,pay,32,4881
237school,China,black,write,4771,3626
238school,Angola,table,discussion,6310,462
239school,United States,century,mission,5304,3331
240school,United States,idea,war,6990,629
241school,East Timor,case,sister,7909,4339
242school,Dominican Republic,business,soon,3412,2895
243school,Antigua,hundred,medical,942,2621
244school,Ireland,both,dog,6528,1252
245school,Ireland,opportunity,tell,3939,3929
246school,Republic,movement,their,8909,4268
247school,Albania,mind,management,9753,693
248school,Republic,listen,after,5852,4270
249school,Dominica,cold,different,6939,3588
250school,Angola,nice,party,1633,1137
251school,Dominica,anything,power,6111,1601
252school,Congo,hear,spend,3100,3232
253school,United States,local,he,6998,1447
254school,Dominican Republic,thought,prove,5354,854
255school,Dominican Republic,year,address,5646,4780
256school,Japan,must,social,4682,1429
257school,Argentina,every,event,8207,4135
258school,Comoros,walk,degree,10000,2447
259school,United States,effort,food,8082,4778
260school,Albania,next,economic,321,1561
261school,France,season,talk,739,1770
262school,Czech,between,new,5786,3487
263school,Algeria,class,candidate,6057,3952
264school,China,whom,put,3083,1308
265school,Cuba,history,them,683,3284
266school,Denmark,respond,adult,1380,1490
267school,Afghanistan,ball,foot,9782,1776
268school,Dominica,media,her,9191,4633
269school,Congo,could,serve,6362,3255
270school,Ireland,talk,little,9193,1048
271school,Congo,size,tough,5419,1039
272school,Andorra,floor,really,4807,3705
273school,Gabon,training,learn,4163,334
274school,Croatia,miss,mean,9902,168
275school,United States,exactly,wind,6599,3866
276school,China,operation,magazine,7583,3025
277school,Egypt,no,expert,3496,4217
278school,United States,reflect,international,4702,3797
279school,Algeria,dark,before,7156,3408
280school,Gabon,suddenly,until,7164,5000
281school,Djibouti,food,world,2824,1565
282school,Cuba,onto,so,8600,1278
283school,United Kingdom,inside,take,1833,2643
284school,Czech,spring,late,337,668
285school,Costa Rica,senior,bill,1278,2004
286school,Italy,cup,receive,9874,2121
287school,Congo,position,worker,5112,1271
288school,China,something,travel,8501,2392
289school,Costa Rica,organization,generation,7233,2737
290school,Cuba,national,short,3766,750
291school,Japan,improve,half,4387,1811
292school,Denmark,my,hold,6226,177
293school,Croatia,pick,shoulder,6452,498
294school,Korea South,natural,dog,9929,3888
295school,Dominica,yet,expect,7790,1870
296school,East Timor,senior,I,985,376
297school,Ecuador,same,actually,1429,2779
298school,Algeria,price,might,319,1508
299school,Dominican Republic,age,list,4984,4721
300school,Japan,important,sell,8748,3090
301school,Angola,sense,manage,1691,743
302school,Algeria,pass,mouth,8519,2295
303school,Comoros,kid,fly,6651,3047
304school,Denmark,drug,provide,2904,1213
305school,United Kingdom,nor,make,8393,2632
306school,Colombia,road,may,2288,3153
307school,Italy,since,say,2952,2682
308school,Germany,professor,after,7004,414
309school,United Kingdom,a,responsibility,206,1620
310school,Czech,conference,discussion,2098,1570
311school,Germany,either,husband,6290,3724
312school,Angola,everything,account,5101,1688
313school,Comoros,the,order,5932,66
314school,Congo,pay,among,1587,639
315school,Cyprus,return,near,7534,2358
316school,Afghanistan,price,ever,272,1770
317school,Georgia,fly,its,3497,4240
318school,Costa Rica,scientist,usually,6449,1520
319school,East Timor,example,rate,8531,1471
320school,Korea South,perform,until,3307,203
321school,United Kingdom,itself,expect,2274,2830
322school,Egypt,figure,or,5370,3467
323school,Argentina,yard,purpose,2343,3520
324school,Germany,direction,stuff,5638,2323
325school,East Timor,American,general,537,1513
326school,France,purpose,become,9230,4797
327school,Czech,until,will,1986,983
328school,Italy,front,lose,4225,3664
329school,Japan,expert,political,4124,601
330school,Gabon,mouth,enough,1363,3034
331school,Japan,agreement,control,3492,1237
332school,Denmark,later,better,2917,1208
333school,Andorra,discover,else,3075,1145
334school,United States,stage,eight,4250,4227
335school,Algeria,situation,authority,4481,2008
336school,Comoros,produce,night,8953,3941
337school,France,control,visit,3696,1131
338school,Ecuador,a,color,3675,4451
339school,Dominican Republic,evidence,forward,9890,3281
340school,Czech,off,medical,8795,1295
341school,Comoros,himself,seven,2407,3935
342school,Djibouti,country,born,9448,1795
343school,Algeria,present,five,1850,1682
344school,Ireland,especially,movement,4557,1746
345school,Argentina,including,shoulder,965,1680
346school,Ecuador,film,matter,9825,4579
347school,Italy,capital,effort,3971,2770
348school,Albania,pull,tell,5989,4850
349school,United States,pull,bag,8283,3304
350school,Croatia,tonight,rule,4251,1636
351school,Croatia,court,fly,2500,2701
352school,Albania,break,paper,3291,745
353school,Gambia,lot,box,9554,2481
354school,China,why,director,492,2111
355school,France,before,south,9477,1743
356school,United States,example,them,7397,2400
357school,Antigua,garden,project,8666,59
358school,Argentina,deal,quickly,1156,3901
359school,Djibouti,process,sign,8481,1427
360school,Angola,environment,these,8974,1071
361school,Ecuador,man,indicate,6398,1577
362school,Croatia,hotel,require,2711,4715
363school,Egypt,act,participant,6353,891
364school,Congo,market,safe,723,3041
365school,United States,grow,meet,4469,1401
366school,Denmark,care,everything,2496,3282
367school,Congo,piece,source,4123,689
368school,Egypt,partner,born,2489,37
369school,Algeria,write,seek,2537,1639
370school,Costa Rica,together,sit,140,188
371school,Croatia,form,source,6478,4263
372school,East Timor,amount,memory,7247,3711
373school,Gabon,laugh,already,1971,3414
374school,Egypt,son,positive,5001,2683
375school,Albania,choice,audience,5379,3231
376school,Republic,how,this,4028,4501
377school,Cuba,oil,follow,3931,2600
378school,Germany,leg,phone,9773,752
379school,Dominica,assume,own,1979,655
380school,Andorra,thus,word,8386,996
381school,Costa Rica,exist,year,1345,4784
382school,Cuba,walk,reflect,483,507
383school,Czech,movie,my,467,1379
384school,Argentina,enough,rule,8777,3948
385school,Argentina,real,serve,6588,4464
386school,Argentina,water,until,2568,2988
387school,Antigua,animal,east,3055,733
388school,Cyprus,five,question,4719,4480
389school,Comoros,decade,child,218,3136
390school,Croatia,mind,hundred,8076,2929
391school,Dominica,box,rate,9478,1185
392school,Argentina,I,end,8391,2804
393school,Algeria,treat,perhaps,7347,4951
394school,Congo,dark,eye,137,2526
395school,Ireland,but,raise,8396,3634
396school,Djibouti,woman,whatever,1319,2871
397school,Andorra,manage,memory,2236,1157
398school,Germany,maintain,cover,4798,3065
399school,Dominica,find,treat,2997,1793
400school,Algeria,computer,family,6512,3223
401school,Djibouti,early,loss,8852,1300
402school,East Timor,not,suffer,1510,3548
403school,Georgia,security,add,8374,1172
404school,Argentina,wear,able,453,959
405school,Costa Rica,throughout,church,6227,2291
406school,Italy,performance,week,5673,3488
407school,Dominica,behavior,discover,1795,2912
408school,Albania,second,believe,4928,1240
409school,Ireland,cost,result,5797,196
410school,Djibouti,between,break,4700,842
411school,Dominica,herself,Mr,5163,1844
412school,Costa Rica,source,true,2423,610
413school,Comoros,onto,policy,5456,4289
414school,Cuba,girl,memory,8228,4985
415school,Algeria,mouth,leg,1229,1827
416school,Afghanistan,break,issue,5739,2061
417school,Republic,traditional,against,9683,2824
418school,Argentina,human,group,6515,1290
419school,Colombia,present,his,5665,175
420school,Italy,us,idea,3570,1945
421school,Andorra,order,experience,808,1585
422school,United Kingdom,hope,tree,8517,542
423school,Colombia,suddenly,inside,1057,3407
424school,Argentina,trade,woman,8989,2350
425school,Dominican Republic,second,former,4883,1420
426school,Costa Rica,safe,add,9180,3645
427school,Congo,order,benefit,5658,58
428school,Japan,I,often,3184,2961
429school,Andorra,country,economy,192,268
430school,Gabon,right,direction,104,3783
431school,Dominica,whose,shake,9029,4646
432school,China,pass,win,3810,3501
433school,Algeria,song,federal,8632,2770
434school,Egypt,window,can,7528,2079
