gradname,graddate,adname
0,1974-04-07,0
10,1962-04-26,1
20,1911-05-25,2
30,1968-06-14,3
40,1957-04-13,4
50,1998-11-04,5
60,2002-07-29,6
70,1941-08-08,7
80,1995-02-07,8
90,1945-07-30,9
100,1974-05-21,10
110,1933-11-30,11
120,1996-05-24,12
130,1982-03-06,13
140,1920-10-27,14
150,2006-04-18,15
160,2012-12-04,16
170,2008-05-29,17
180,1927-09-06,18
190,1964-05-25,19
200,1956-11-30,20
210,1955-09-14,21
220,2014-12-17,22
230,1941-08-08,23
240,2018-06-29,24
250,1991-09-05,25
260,1908-07-23,26
270,1912-10-28,27
280,2008-03-23,28
290,1988-12-27,29
300,1922-01-23,30
310,1993-02-25,31
320,1910-03-08,32
330,1980-07-03,33
340,1935-05-23,34
350,1994-06-26,35
360,1974-07-20,36
370,1925-03-28,37
380,1913-05-26,38
390,1983-02-12,39
400,1985-01-16,40
410,1976-10-09,41
420,1933-02-22,42
430,1935-04-20,43
440,2014-07-27,44
450,1908-08-14,45
460,1916-06-30,46
470,1966-02-07,47
480,1987-10-30,48
490,1977-09-01,49
500,1956-10-29,50
510,2010-01-13,51
520,1956-03-17,52
530,1943-10-30,53
540,2005-03-09,54
550,2016-03-04,55
560,1957-04-26,56
570,1978-07-15,57
580,1986-08-30,58
590,1991-12-16,59
600,1927-10-02,60
610,1930-09-23,61
620,1915-03-16,62
630,1965-02-22,63
640,1999-03-15,64
650,1954-02-14,65
660,2020-01-03,66
670,1959-10-18,67
680,1920-02-11,68
690,1953-09-19,69
700,1969-02-08,70
710,1937-06-28,71
720,1924-12-27,72
730,2009-05-16,73
740,1948-09-04,74
750,1994-04-19,75
760,1987-09-30,76
770,2007-09-01,77
780,2015-01-13,78
790,1951-08-13,79
800,1989-03-31,80
810,1914-05-03,81
820,1987-11-22,82
830,1982-07-14,83
840,1922-06-30,84
850,1957-02-01,85
860,1992-03-22,86
870,1948-09-22,87
880,1928-04-28,88
890,1992-03-11,89
900,1914-12-20,90
910,1946-06-12,91
920,1989-06-03,92
930,1935-03-28,93
940,1961-10-03,94
950,1999-06-10,95
960,2008-10-15,96
970,1929-03-04,97
980,1927-09-30,98
990,2018-05-24,99
1000,1960-06-28,100
1010,1995-11-27,101
1020,1913-01-22,102
1030,1960-01-11,103
1040,2014-10-24,104
1050,1946-02-23,105
1060,1957-12-04,106
1070,1917-05-15,107
1080,1925-02-21,108
1090,2017-12-25,109
1100,1953-09-14,110
1110,1936-05-14,111
1120,1950-03-26,112
1130,1979-05-19,113
1140,1936-01-02,114
