scolname,location_country,location_state,location_city,scale_students,scale_faculty
Robin Thompson,Italy,realize,long,4376,860
Ryan Nichols,Germany,likely,analysis,1828,4620
Robert Rogers,Japan,glass,much,8281,1990
Christopher Johnson,Ireland,investment,feeling,6619,2874
Carlos Haynes,Albania,action,run,9331,4888
Christina Bennett,Gabon,area,project,1148,3295
Jacob Powell,Gabon,director,morning,6176,1627
Monica Smith,China,bad,place,5099,4477
Philip Estrada,Japan,year,ask,1650,3653
Erin Harmon,Denmark,center,must,6812,2697
Mary Mitchell DVM,Antigua,task,building,3101,2545
Victor Mccormick,Argentina,news,meet,4959,4375
Shannon Vance,Denmark,teacher,quality,4104,1265
Ivan Grant,Denmark,film,five,7836,4512
Lance Edwards,Ireland,on,parent,2935,1055
Melissa Kirby,Republic,service,public,2067,1780
Jaclyn Garza,Georgia,project,student,2863,1855
Lance Oneal,Djibouti,executive,agree,2484,4395
Nathaniel Shah,Afghanistan,water,happen,2196,3485
John Turner,Japan,their,member,1160,550
Monica Johnson,East Timor,full,enter,7354,4172
Christopher Campos,Cyprus,happen,us,6064,2865
Erin Johnson,Ecuador,hotel,receive,6028,794
Shawn Boyer,Cuba,matter,the,2238,3526
Stephen Adams,Cuba,director,development,5423,1771
Brett Daniels,Czech,nearly,statement,597,1192
Craig Brown,Congo,scene,and,9735,1186
Stephanie Adams,Denmark,answer,perhaps,1181,4874
Anthony Bell,Andorra,other,east,5970,3936
Elizabeth Galvan,Argentina,surface,wish,9023,256
Jennifer Howard,Argentina,special,between,7410,3898
Ricky Murray,Gambia,recognize,cover,1945,4531
Amber Stevens,Georgia,quality,man,9327,4796
Caleb Sexton,United States,debate,look,400,2785
Jason Harris,Algeria,close,matter,5280,4387
Linda Barnes,Georgia,just,look,1080,769
Sarah Wilson,Italy,suggest,week,4169,2205
Claudia Jenkins,Croatia,tell,increase,3192,2912
Judy Hebert,Korea South,far,throw,755,3732
Jesus Browning,China,western,buy,7980,2679
Rebecca Watts,Cuba,season,author,2847,151
Zachary Benson DDS,Italy,threat,natural,3154,1954
Kaitlyn Franklin,Czech,church,reality,5983,1157
Jared Holt,Ecuador,trip,charge,9318,1435
